BIN,BBL,year,affordability_flag
1051786,1016280006,2018,4
1051790,1016280010,2018,4
1051847,1016290030,2018,4
1051812,1016280049,2018,4
1051861,1016290065,2018,4
1051860,1016290064,2018,4
1051500,1016100009,2018,4
1051501,1016100013,2018,4
1052421,1016550029,2018,4
1052769,1016770038,2018,4
1053082,1017100019,2018,4
1053083,1017100021,2018,4
1053140,1017110121,2018,4
1051757,1016270022,2018,4
1051756,1016270021,2018,4
1078908,1016250071,2018,4
1051784,1016280004,2018,4
1053102,1017100021,2018,4
2091950,2026380001,2018,4
1018083,1008800073,2018,4
1004875,1003930006,2018,4
1004527,1003780004,2018,4
1077505,1003980055,2018,4
1076975,1004050042,2018,4
1004249,1003500023,2018,4
1004260,1003500039,2018,4
1004340,1003550062,2018,4
2092708,2036000004,2018,4
2092711,2036000004,2018,4
2092718,2036000004,2018,4
2092717,2036000004,2018,4
2092710,2036000004,2018,4
2092709,2036000004,2018,4
2003035,2025040036,2018,4
2014204,2031960010,2018,4
2002150,2024290034,2018,4
2002414,2024390022,2018,4
2008852,2028760170,2018,4
2008554,2028680127,2018,4
2014697,2032160052,2018,4
3063106,3024170039,2018,4
2051242,2044250001,2018,4
2003124,2025070029,2018,4
1010371,1005970050,2018,0
2001296,2023710029,2018,4
2002085,2024260062,2018,4
2001283,2023710001,2018,4
2001286,2023710006,2018,4
3338090,3017020001,2018,4
3338124,3017080001,2018,4
3338103,3017020001,2018,4
3338146,3017080001,2018,4
3338094,3017020001,2018,4
3338099,3017020001,2018,4
3338100,3017020001,2018,4
2012736,2030970016,2018,4
2004312,2026150057,2018,4
3326120,3020960006,2018,4
3326201,3020970015,2018,4
3346323,3040430001,2018,4
3323718,3040270001,2018,4
3337004,3040430001,2018,4
3346323,3040430001,2018,4
3346323,3040430001,2018,4
1079400,1017100036,2018,4
1053089,1017100031,2018,4
1054537,1017830034,2018,4
1054536,1017830031,2018,4
4458036,4051820009,2018,3
2003068,2025050046,2018,4
2001013,2023430012,2018,4
2005347,2026960075,2018,4
2002852,2024650025,2018,4
2002293,2024350015,2018,4
1061550,1020640036,2018,4
1004554,1003790034,2018,4
2001200,2023650025,2018,4
2091165,2023650020,2018,4
2091165,2023650020,2018,4
4032965,4013760032,2018,4
3012987,3007840045,2018,4
3259242,3008090007,2018,4
3013993,3008090002,2018,4
3014315,3008160037,2018,4
3324435,3008170005,2018,4
3014316,3008160042,2018,4
3014340,3008170001,2018,4
3012920,3007830021,2018,4
3012619,3007740059,2018,4
3013320,3007920024,2018,4
3013333,3007920056,2018,4
3014190,3008140020,2018,4
3324451,3008210012,2018,4
3387666,3008300033,2018,4
3324435,3008170005,2018,4
3341875,3007230067,2018,4
3341878,3007830021,2018,4
3013995,3008090004,2018,4
3012983,3007840038,2018,4
3391452,3008300035,2018,4
3347565,3030700010,2018,4
3347538,3019850014,2018,4
3335049,3019850014,2018,4
3178703,3066820045,2018,4
3178750,3066830052,2018,4
3073471,3032310001,2018,4
3396269,3011460046,2018,0
3398428,3017760067,2018,0
4003509,4002680008,2018,0
2001498,2023820037,2018,0
1083599,1007490024,2018,4
1083604,1007520001,2018,4
1078541,1007470001,2018,4
1013458,1007490001,2018,4
1082794,1007510001,2018,4
1082793,1007510001,2018,4
1082796,1007510001,2018,4
3037203,3013870018,2018,4
2000000,2029990042,2018,0
2087620,2025530002,2018,4
1059574,1019670069,2018,4
1059573,1019670067,2018,4
2127040,2026810024,2018,0
2016825,2032930135,2018,4
2017001,2033000023,2018,0
3101679,3046650005,2018,4
4271718,4126160031,2018,4
4261666,4120500042,2018,4
4278483,4129310082,2018,4
4201081,4094990031,2018,4
4280605,4130450028,2018,4
4265382,4122190048,2018,4
4285133,4132850057,2018,4
4457615,4103730007,2018,4
4237565,4110380068,2018,4
4235858,4109950009,2018,4
4234918,4109640134,2018,4
4233676,4109180046,2018,4
4243939,4113060028,2018,4
4278659,4129340175,2018,4
4283716,4131920225,2018,4
4215226,4100700121,2018,4
2005730,2027200069,2018,4
1055913,1018590015,2018,4
1084024,1018440020,2018,4
1084023,1018440020,2018,4
3009068,3006340001,2018,0
