year,fc_geoid,fc_geo_type,census_denom_year,crime_prop_num,crime_viol_num,crime_all_num,population,crime_prop_rt,crime_viol_rt,crime_all_rt
2006,36005036300,tract,2000,75,47,122,6571,11.41378786,7.15264039,18.56642825
2006,36005036400,tract,2000,19,22,41,2699,7.039644313,8.151167099,15.19081141
2006,36005036501,tract,2000,38,31,69,3421,11.1078632,9.061677872,20.16954107
2006,36005036502,tract,2000,22,16,38,1793,12.26993865,8.923591746,21.1935304
2006,36005036600,tract,2000,17,17,34,882,19.27437642,19.27437642,38.54875283
2006,36005036700,tract,2000,12,6,18,2223,5.398110661,2.699055331,8.097165992
2006,36005036800,tract,2000,15,9,24,1569,9.560229446,5.736137667,15.29636711
2006,36005036901,tract,2000,30,18,48,1687,17.78304683,10.6698281,28.45287493
2006,36005036902,tract,2000,10,8,18,2143,4.666355576,3.733084461,8.399440037
2006,36005037000,tract,2000,16,2,18,2210,7.239819005,0.904977376,8.14479638
2006,36005037100,tract,2000,49,27,76,4305,11.38211382,6.271777003,17.65389082
2006,36005037200,tract,2000,32,14,46,2182,14.66544455,6.416131989,21.08157654
2006,36005037300,tract,2000,50,37,87,4900,10.20408163,7.551020408,17.75510204
2006,36005037400,tract,2000,28,14,42,3519,7.956805911,3.978402955,11.93520887
2006,36005037501,tract,2000,26,20,46,415,62.65060241,48.19277108,110.8433735
2006,36005037502,tract,2000,18,12,30,1126,15.98579041,10.65719361,26.64298401
2006,36005037503,tract,2000,36,40,76,2037,17.6730486,19.63672067,37.30976927
2006,36005037600,tract,2000,15,7,22,2116,7.088846881,3.308128544,10.39697543
2006,36005037700,tract,2000,40,33,73,2999,13.33777926,11.00366789,24.34144715
2006,36005037800,tract,2000,29,14,43,2795,10.37567084,5.008944544,15.38461538
2006,36005037900,tract,2000,39,49,88,5057,7.712082262,9.689539253,17.40162151
2006,36005038000,tract,2000,34,40,74,3910,8.695652174,10.23017903,18.9258312
2006,36005038100,tract,2000,63,72,135,6192,10.1744186,11.62790698,21.80232558
2006,36005038200,tract,2000,11,12,23,2566,4.286827747,4.676539361,8.963367108
2006,36005038300,tract,2000,78,94,172,10152,7.68321513,9.259259259,16.94247439
2006,36005038500,tract,2000,30,38,68,4071,7.369196758,9.334315893,16.70351265
2006,36005038600,tract,2000,33,18,51,7123,4.632879405,2.52702513,7.159904535
2006,36005038700,tract,2000,66,40,106,3392,19.45754717,11.79245283,31.25
2006,36005038800,tract,2000,10,11,21,2374,4.212299916,4.633529907,8.845829823
2006,36005038900,tract,2000,49,38,87,4558,10.75032909,8.336989908,19.087319
2006,36005039000,tract,2000,12,23,35,2580,4.651162791,8.914728682,13.56589147
2006,36005039100,tract,2000,48,48,96,6372,7.532956685,7.532956685,15.06591337
2006,36005039200,tract,2000,8,16,24,1607,4.978220286,9.956440572,14.93466086
2006,36005039300,tract,2000,38,44,82,7731,4.915276161,5.691372397,10.60664856
2006,36005039400,tract,2000,19,21,40,4453,4.266786436,4.71592185,8.982708287
2006,36005039600,tract,2000,18,29,47,3400,5.294117647,8.529411765,13.82352941
2006,36005039700,tract,2000,36,26,62,3914,9.197751661,6.642820644,15.8405723
2006,36005039800,tract,2000,12,9,21,2771,4.330566582,3.247924937,7.578491519
2006,36005039901,tract,2000,129,71,200,5550,23.24324324,12.79279279,36.03603604
2006,36005039902,tract,2000,53,45,98,4960,10.68548387,9.072580645,19.75806452
2006,36005040100,tract,2000,41,57,98,5302,7.732930969,10.75066013,18.4835911
2006,36005040301,tract,2000,57,48,105,8558,6.660434681,5.6087871,12.26922178
2006,36005040302,tract,2000,26,37,63,4558,5.704256253,8.117595437,13.82185169
2006,36005040400,tract,2000,12,10,22,2904,4.132231405,3.443526171,7.575757576
2006,36005040500,tract,2000,62,69,131,11178,5.546609411,6.172839506,11.71944892
2006,36005040600,tract,2000,25,28,53,3398,7.357268982,8.24014126,15.59741024
2006,36005040701,tract,2000,27,7,34,3309,8.159564823,2.115442732,10.27500756
2006,36005040702,tract,2000,31,36,67,6718,4.614468592,5.35873772,9.973206311
2006,36005040800,tract,2000,27,17,44,4014,6.726457399,4.235176881,10.96163428
2006,36005040900,tract,2000,39,27,66,3499,11.14604173,7.716490426,18.86253215
2006,36005041000,tract,2000,11,1,12,23,478.2608696,43.47826087,521.7391304
2006,36005041100,tract,2000,32,12,44,2701,11.8474639,4.442798963,16.29026287
2006,36005041300,tract,2000,77,30,107,7515,10.24617432,3.992015968,14.23819029
2006,36005041400,tract,2000,34,20,54,5040,6.746031746,3.968253968,10.71428571
2006,36005041500,tract,2000,42,18,60,5635,7.453416149,3.194321207,10.64773736
2006,36005041800,tract,2000,22,22,44,3564,6.172839506,6.172839506,12.34567901
2006,36005041900,tract,2000,71,49,120,6887,10.30927835,7.114854073,17.42413242
2006,36005042000,tract,2000,34,20,54,3788,8.975712777,5.279831045,14.25554382
2006,36005042100,tract,2000,62,44,106,6831,9.076269946,6.441223833,15.51749378
