"","year","fc_geoid","fc_geo_type","violation_class","viol"
"369",2012,"36005007500","tract","B",146
"370",2012,"36005007500","tract","C",71
"371",2012,"36005007600","tract","A",22
"372",2012,"36005007600","tract","B",145
"373",2012,"36005007600","tract","C",81
"374",2012,"36005007700","tract","A",50
"375",2012,"36005007700","tract","B",107
"376",2012,"36005007700","tract","C",22
"377",2012,"36005007800","tract","A",57
"378",2012,"36005007800","tract","B",166
"379",2012,"36005007800","tract","C",57
"380",2012,"36005007900","tract","A",63
"381",2012,"36005007900","tract","B",296
"382",2012,"36005007900","tract","C",114
"383",2012,"36005008300","tract","A",63
"384",2012,"36005008300","tract","B",169
"385",2012,"36005008300","tract","C",49
"386",2012,"36005008400","tract","A",4
"387",2012,"36005008400","tract","B",15
"388",2012,"36005008400","tract","C",7
"389",2012,"36005008500","tract","A",62
"390",2012,"36005008500","tract","B",140
"391",2012,"36005008500","tract","C",59
"392",2012,"36005008600","tract","A",1
"393",2012,"36005008600","tract","B",20
"394",2012,"36005008700","tract","A",88
"395",2012,"36005008700","tract","B",237
"396",2012,"36005008700","tract","C",68
"397",2012,"36005008900","tract","A",39
"398",2012,"36005008900","tract","B",122
"399",2012,"36005008900","tract","C",42
"400",2012,"36005009000","tract","A",1
"401",2012,"36005009000","tract","B",19
"402",2012,"36005009000","tract","C",9
"403",2012,"36005009200","tract","A",59
"404",2012,"36005009200","tract","B",153
"405",2012,"36005009200","tract","C",48
"406",2012,"36005009300","tract","A",110
"407",2012,"36005009300","tract","B",414
"408",2012,"36005009300","tract","C",156
"409",2012,"36005009600","tract","A",4
"410",2012,"36005009600","tract","B",27
"411",2012,"36005009600","tract","C",10
"412",2012,"36005009800","tract","A",15
"413",2012,"36005009800","tract","B",19
"414",2012,"36005009800","tract","C",3
"415",2012,"36005011502","tract","A",93
"416",2012,"36005011502","tract","B",301
"417",2012,"36005011502","tract","C",40
"418",2012,"36005011700","tract","A",34
"419",2012,"36005011700","tract","B",97
"420",2012,"36005011700","tract","C",42
"421",2012,"36005011900","tract","A",204
"422",2012,"36005011900","tract","B",406
"423",2012,"36005011900","tract","C",129
"424",2012,"36005012101","tract","A",56
"425",2012,"36005012101","tract","B",153
"426",2012,"36005012101","tract","C",59
"427",2012,"36005012102","tract","A",30
"428",2012,"36005012102","tract","B",73
"429",2012,"36005012102","tract","C",17
"430",2012,"36005012300","tract","A",31
"431",2012,"36005012300","tract","B",90
"432",2012,"36005012300","tract","C",34
"433",2012,"36005012500","tract","A",25
"434",2012,"36005012500","tract","B",98
"435",2012,"36005012500","tract","C",51
"436",2012,"36005012701","tract","A",44
"437",2012,"36005012701","tract","B",159
"438",2012,"36005012701","tract","C",26
"439",2012,"36005012901","tract","A",62
"440",2012,"36005012901","tract","B",158
"441",2012,"36005012901","tract","C",79
"442",2012,"36005013000","tract","B",1
"443",2012,"36005013000","tract","C",3
"444",2012,"36005013100","tract","A",54
"445",2012,"36005013100","tract","B",192
"446",2012,"36005013100","tract","C",94
"447",2012,"36005013200","tract","A",7
"448",2012,"36005013200","tract","B",31
"449",2012,"36005013200","tract","C",20
"450",2012,"36005013300","tract","A",50
"451",2012,"36005013300","tract","B",141
"452",2012,"36005013300","tract","C",34
"453",2012,"36005013500","tract","A",49
"454",2012,"36005013500","tract","B",169
